name,url,score,ratings,brewery,abv,ibu,brewer_notes
Breakfast Stout,/beer/profile/1199/11757/,4.51,"16,948",Founders Brewing Company,8.3,60,     Sep - Dec  Brewed with flaked oats bitter and sweetened imported chocolates Sumatra and Kona coffee.  
90 Minute IPA,/beer/profile/64/2093/,4.27,"15,783",Dogfish Head Craft Brewery,9,90,"    Esquire Magazine calls our 90 Minute IPA ""perhaps the best IPA in America."" An imperial IPA best savored from a snifter 90 Minute has a great malt backbone that stands up to the extreme hopping rate.  90 Minute IPA was the first beer we continuously hopped allowing for a pungent -- but not crushing -- hop flavor.  "
Pliny The Elder,/beer/profile/863/7971/,4.65,"14,754",Russian River Brewing Company,8,No IBU,No Notes
Two Hearted Ale,/beer/profile/287/1093/,4.27,"14,621",Bell's Brewery - Eccentric Café & General Store,7,No IBU,No Notes
Sculpin IPA,/beer/profile/199/29619/,4.39,"14,146",Ballast Point Brewing Company,7,No IBU,No Notes
Heady Topper,/beer/profile/46317/16814/,4.72,"13,949",The Alchemist Brewery and Visitors Center,8,75,"    ""An American Double IPA"" "
Hopslam Ale,/beer/profile/287/17112/,4.46,"13,355",Bell's Brewery - Eccentric Café & General Store,10,No IBU,No Notes
KBS (Kentucky Breakfast Stout),/beer/profile/1199/19960/,4.61,"12,935",Founders Brewing Company,11.8,No IBU,No Notes
Bourbon County Brand Stout,/beer/profile/1146/10672/,4.6,"12,564",Goose Island Beer Co.,14.1,60,    
Old Rasputin,/beer/profile/112/412/,4.3,"12,421",North Coast Brewing Co.,9,No IBU,No Notes
60 Minute IPA,/beer/profile/64/6108/,4.08,"11,588",Dogfish Head Craft Brewery,6,60,    60 Minute IPA is continuously hopped -- more than 60 hop additions over a 60-minute boil. (Getting a vibe of where the name came from?)  60 Minute is brewed with a slew of great Northwest hops. A powerful but balanced East Coast IPA with a lot of citrusy hop character it's the session beer for hardcore enthusiasts!  
Sierra Nevada Pale Ale,/beer/profile/140/276/,4.03,"11,486",Sierra Nevada Brewing Co.,5.6,37,    Generous quantities of premium Cascade hops give the Pale Ale its fragrant bouquet and spicy flavor.  
Stone IPA,/beer/profile/147/88/,4.21,"11,179",Stone Brewing,6.9,No IBU,No Notes
Torpedo Extra IPA,/beer/profile/140/30420/,4.15,"11,123",Sierra Nevada Brewing Co.,7.2,No IBU,No Notes
Enjoy By IPA,/beer/profile/147/84596/,4.42,"10,914",Stone Brewing,9.4,No IBU,No Notes
Arrogant Bastard Ale,/beer/profile/43153/92/,4.15,"10,732",Arrogant Brewing,7.2,No IBU,No Notes
Celebration Fresh Hop IPA,/beer/profile/140/1904/,4.15,"10,399",Sierra Nevada Brewing Co.,6.8,No IBU,No Notes
Zombie Dust,/beer/profile/26/64228/,4.59,"10,353",3 Floyds Brewing Co.,6.2,60,    This intensely hopped and gushing undead Pale Ale will be one’s only respite after the zombie apocalypse. Created with our marvelous friends in the comic industry.  
Lagunitas Sucks (Brown Shugga Substitute Ale),/beer/profile/220/74986/,4.32,"10,349",Lagunitas Brewing Company,7.85,No IBU,No Notes
La Fin Du Monde,/beer/profile/22/34/,4.32,"10,196",Unibroue,9,No IBU,No Notes
Ten FIDY,/beer/profile/2681/34483/,4.38,"10,012",Oskar Blues Grill & Brew,10.5,98,    This titanic immensely viscous stout is loaded with inimitable flavors of chocolate-covered caramel and coffee and hide a hefty 
St. Bernardus Abt 12,/beer/profile/259/1708/,4.46,"9,702",Brouwerij St. Bernardus NV,10,No IBU,No Notes
Trappistes Rochefort 10,/beer/profile/207/645/,4.5,"9,424",Brasserie de Rochefort,11.3,No IBU,No Notes
Samuel Adams Boston Lager,/beer/profile/35/104/,3.74,"9,326",Boston Beer Company (Samuel Adams),5,No IBU,No Notes
A Little Sumpin' Sumpin' Ale,/beer/profile/220/49789/,4.21,"9,041",Lagunitas Brewing Company,7.5,No IBU,No Notes
Lagunitas IPA,/beer/profile/220/916/,3.89,"8,970",Lagunitas Brewing Company,6.2,6,    Thanks for choosing to spend the next few minutes with this special homicidally hoppy ale. Savor the moment as the raging hop character engages the Imperial Qualities of the Malt Foundation in mortal combat on the battlefield of your palate!   45.
Fat Tire Amber Ale,/beer/profile/192/607/,3.6,"8,859",New Belgium Brewing,5.2,No IBU,No Notes
Nugget Nectar,/beer/profile/694/15881/,4.32,"8,639",Tröegs Brewing Company,7.5,93,    Squeeze those hops for all they're worth! Nugget Nectar will take hopheads to nirvana with a heady collection of American hops. Our Imperial Amber Ale is further intensified with whole flower Nugget hops added to our hopback vessel resulting in an explosion of citrus resin and pine.  
Weihenstephaner Hefeweissbier,/beer/profile/252/731/,4.41,"8,517",Bayerische Staatsbrauerei Weihenstephan,5.4,No IBU,No Notes
Centennial IPA,/beer/profile/1199/5441/,4.13,"8,466",Founders Brewing Company,7.2,65,    
Backwoods Bastard,/beer/profile/1199/35036/,4.35,"8,393",Founders Brewing Company,11.2,No IBU,No Notes
120 Minute IPA,/beer/profile/64/9086/,4.11,"8,365",Dogfish Head Craft Brewery,18,120,    Too extreme to be called beer? 120 Minute IPA is brewed to a colossal 45-degree plato boiled for a full two hours while being continuously hopped with high-alpha American hops then dry-hopped daily in the fermenter for a month and aged for another month on whole-leaf hops!  
